,상대팀,결과
839,SK,win
840,LG,lose
841,LG,win
842,LG,win
843,롯데,win
844,롯데,lose
845,KIA,win
846,KIA,win
847,KIA,win
848,두산,lose
849,두산,lose
850,두산,lose
851,현대,lose
852,현대,win
853,현대,win
854,LG,lose
855,LG,win
856,SK,draw
857,SK,lose
858,SK,lose
859,현대,win
860,현대,lose
861,현대,win
862,SK,win
863,SK,lose
864,SK,lose
865,한화,lose
866,한화,lose
867,한화,lose
868,현대,draw
869,KIA,lose
870,KIA,win
871,KIA,win
872,두산,win
873,두산,lose
874,현대,lose
875,현대,win
876,현대,lose
877,롯데,win
878,롯데,win
879,롯데,lose
880,KIA,win
881,KIA,win
882,KIA,lose
883,한화,lose
884,한화,win
885,두산,win
886,두산,win
887,두산,win
888,SK,lose
889,SK,lose
890,LG,lose
891,LG,lose
892,LG,win
893,한화,win
894,롯데,win
895,롯데,win
896,두산,draw
897,두산,win
898,KIA,lose
899,LG,win
900,LG,win
901,SK,draw
902,SK,lose
903,SK,win
904,롯데,win
905,롯데,win
906,롯데,win
907,두산,win
908,LG,lose
909,LG,win
910,SK,lose
911,한화,win
912,한화,win
913,현대,lose
914,현대,lose
915,현대,lose
916,한화,win
917,LG,lose
918,KIA,win
919,KIA,win
920,두산,lose
921,한화,win
922,롯데,lose
923,롯데,win
924,현대,win
925,현대,win
926,현대,lose
927,두산,win
928,두산,draw
929,두산,lose
930,한화,lose
931,한화,win
932,SK,lose
933,SK,win
934,LG,lose
935,LG,win
936,LG,win
937,KIA,win
938,KIA,lose
939,KIA,win
940,롯데,lose
941,롯데,win
942,현대,win
943,현대,win
944,현대,lose
945,두산,win
946,두산,draw
947,두산,lose
948,한화,lose
949,한화,win
950,SK,lose
951,SK,win
952,LG,lose
953,LG,win
954,LG,win
955,KIA,win
956,KIA,lose
957,KIA,win
958,SK,win
959,SK,win
960,SK,win
961,현대,lose
962,현대,lose
963,LG,lose
964,LG,win
965,LG,win
966,KIA,lose
967,KIA,win
968,KIA,lose
969,두산,win
970,두산,lose
971,두산,win
972,롯데,lose
973,롯데,win
974,한화,win
975,한화,lose
976,한화,win
977,두산,win
978,두산,win
979,롯데,win
980,롯데,lose
981,롯데,win
982,KIA,win
983,KIA,draw
984,KIA,lose
985,LG,win
986,LG,lose
987,LG,lose
988,현대,win
989,현대,win
990,현대,lose
991,한화,win
992,한화,win
993,SK,win
994,SK,win
995,SK,win
996,롯데,lose
997,롯데,win
998,LG,win
999,LG,win
1000,두산,win
1001,두산,lose
1002,KIA,draw
1003,SK,win
1004,SK,win
1005,한화,lose
1006,SK,win
1007,SK,win
1008,롯데,win
1009,롯데,win
1010,롯데,lose
1011,삼성,lose
1012,삼성,lose
1013,KIA,lose
1014,KIA,lose
1015,현대,lose
1016,SK,lose
1017,SK,lose
1018,SK,win
1019,한화,win
1020,한화,win
1021,한화,lose
1022,LG,win
1023,LG,win
1024,LG,win
1025,현대,lose
1026,현대,win
1027,현대,win
1028,KIA,lose
1029,KIA,win
1030,KIA,win
1031,두산,win
1032,두산,lose
1033,두산,lose
1034,롯데,win
1035,롯데,win
1036,한화,lose
1037,한화,win
1038,현대,lose
1039,현대,lose
1040,현대,lose
1041,LG,win
1042,LG,win
1043,LG,lose
1044,롯데,lose
1045,롯데,lose
1046,롯데,win
1047,KIA,lose
1048,KIA,lose
1049,두산,lose
1050,두산,win
1051,KIA,win
1052,한화,lose
1053,SK,win
1054,한화,win
1055,한화,win
1056,한화,lose
1057,한화,win
1058,현대,lose
1059,SK,lose
1060,SK,lose
1061,롯데,win
1062,LG,win
1063,두산,lose
1064,현대,win
1065,현대,win
1066,두산,win
1067,두산,lose
1068,두산,win
1069,SK,win
1070,SK,lose
1071,SK,draw
1072,KIA,win
1073,KIA,lose
1074,KIA,lose
1075,롯데,win
1076,롯데,lose
1077,롯데,win
1078,LG,win
1079,LG,win
1080,KIA,lose
1081,KIA,win
1082,KIA,win
1083,현대,lose
1084,현대,lose
1085,현대,lose
1086,두산,win
1087,두산,lose
1088,두산,win
1089,SK,win
1090,SK,lose
1091,SK,draw
1092,KIA,win
1093,KIA,lose
1094,KIA,lose
1095,롯데,win
1096,롯데,lose
1097,롯데,win
1098,LG,win
1099,LG,win
1100,KIA,lose
1101,KIA,win
1102,KIA,win
1103,현대,lose
1104,현대,lose
1105,현대,lose
1106,한화,lose
1107,한화,lose
1108,롯데,lose
1109,롯데,lose
1110,롯데,win
1111,두산,lose
1112,두산,draw
1113,현대,lose
1114,현대,win
1115,한화,win
1116,한화,win
1117,LG,lose
1118,LG,lose
1119,LG,win
1120,SK,win
1121,SK,draw
1122,SK,win
1123,현대,lose
1124,현대,win
1125,현대,lose
1126,LG,lose
1127,LG,win
1128,LG,lose
1129,한화,win
1130,한화,win
1131,한화,win
1132,롯데,win
1133,롯데,win
1134,롯데,lose
1135,두산,lose
1136,두산,win
1137,두산,lose
1138,KIA,win
1139,KIA,lose
1140,KIA,lose
1141,현대,lose
1142,현대,lose
1143,현대,win
1144,LG,lose
1145,LG,win
1146,한화,win
1147,한화,lose
1148,두산,win
1149,두산,lose
1150,두산,win
1151,롯데,win
1152,롯데,lose
1153,SK,lose
1154,SK,win
1155,SK,lose
1156,두산,lose
1157,두산,win
1158,두산,lose
1159,KIA,win
1160,KIA,lose
1161,현대,win
1162,현대,lose
1163,현대,lose
1164,한화,win
1165,한화,win
1166,한화,win
1167,두산,lose
1168,두산,win
1169,두산,win
1170,KIA,win
1171,KIA,win
1172,KIA,lose
1173,LG,lose
1174,LG,win
1175,LG,win
1176,SK,win
1177,SK,win
1178,SK,lose
1179,롯데,win
1180,롯데,lose
1181,현대,win
1182,현대,win
1183,SK,lose
1184,LG,win
1185,LG,win
1186,LG,lose
1187,롯데,win
1188,롯데,lose
1189,KIA,win
1190,KIA,lose
1191,한화,lose
1192,SK,win
1193,SK,win
1194,현대,win
1195,LG,draw
1196,LG,win
1197,한화,lose
1198,KIA,win
1199,SK,lose
1200,두산,lose
1201,SK,lose
1202,한화,lose
1203,한화,lose
1204,한화,lose
1205,롯데,win
1206,현대,lose
1207,KIA,win
1208,SK,lose
1209,한화,win
1210,롯데,lose
1211,롯데,lose
1212,KIA,win
1213,KIA,win
1214,KIA,win
1215,KIA,win
1216,LG,win
1217,LG,win
1218,LG,win
1219,우리,lose
1220,우리,lose
1221,우리,win
1222,롯데,lose
1223,롯데,win
1224,한화,win
1225,한화,lose
1226,한화,win
1227,SK,lose
1228,SK,lose
1229,SK,lose
1230,LG,win
1231,LG,lose
1232,LG,lose
1233,두산,lose
1234,두산,lose
1235,두산,win
1236,롯데,lose
1237,롯데,win
1238,롯데,win
1239,우리,win
1240,우리,lose
1241,우리,lose
1242,한화,win
1243,한화,win
1244,한화,lose
1245,KIA,win
1246,KIA,lose
1247,KIA,lose
1248,SK,lose
1249,SK,win
1250,SK,lose
1251,롯데,lose
1252,롯데,win
1253,롯데,win
1254,두산,win
1255,두산,lose
1256,LG,lose
1257,LG,win
1258,LG,lose
1259,한화,win
1260,한화,win
1261,한화,lose
1262,우리,win
1263,우리,win
1264,우리,win
1265,SK,win
1266,SK,win
1267,SK,lose
1268,LG,lose
1269,LG,win
1270,KIA,lose
1271,KIA,win
1272,KIA,lose
1273,한화,lose
1274,한화,lose
1275,한화,lose
1276,두산,win
1277,두산,lose
1278,두산,win
1279,우리,lose
1280,우리,lose
1281,SK,lose
1282,SK,lose
1283,SK,lose
1284,LG,win
1285,LG,win
1286,LG,lose
1287,두산,lose
1288,두산,win
1289,두산,win
1290,롯데,win
1291,롯데,lose
1292,KIA,lose
1293,KIA,lose
1294,KIA,lose
1295,SK,win
1296,SK,lose
1297,SK,win
1298,LG,lose
1299,LG,lose
1300,LG,lose
1301,우리,lose
1302,우리,win
1303,우리,win
1304,한화,win
1305,한화,win
1306,한화,win
1307,KIA,lose
1308,KIA,win
1309,KIA,win
1310,두산,win
1311,SK,win
1312,SK,win
1313,우리,win
1314,우리,win
1315,우리,win
1316,롯데,lose
1317,롯데,lose
1318,롯데,lose
1319,KIA,win
1320,KIA,lose
1321,KIA,win
1322,한화,lose
1323,한화,win
1324,한화,win
1325,두산,win
1326,두산,lose
1327,두산,win
1328,롯데,win
1329,롯데,lose
1330,롯데,lose
1331,KIA,win
1332,LG,win
1333,롯데,win
1334,롯데,lose
1335,두산,lose
1336,두산,lose
1337,두산,win
1338,우리,lose
1339,SK,win
1340,LG,win
1341,LG,win
1342,히어로즈,lose
1343,히어로즈,lose
1344,히어로즈,lose
1345,KIA,win
1346,KIA,win
1347,KIA,lose
1348,한화,lose
1349,한화,win
1350,두산,lose
1351,두산,win
1352,두산,win
1353,LG,win
1354,LG,lose
1355,LG,win
1356,KIA,win
1357,KIA,lose
1358,KIA,lose
1359,히어로즈,win
1360,히어로즈,lose
1361,히어로즈,lose
1362,LG,win
1363,LG,win
1364,히어로즈,lose
1365,히어로즈,lose
1366,히어로즈,lose
1367,KIA,win
1368,KIA,win
1369,KIA,lose
1370,한화,lose
1371,한화,win
1372,두산,lose
1373,두산,win
1374,두산,win
1375,LG,win
1376,LG,lose
1377,LG,win
1378,KIA,win
1379,KIA,lose
1380,KIA,lose
1381,히어로즈,win
1382,히어로즈,lose
1383,히어로즈,lose
1384,SK,lose
1385,SK,win
1386,SK,lose
1387,한화,win
1388,한화,win
1389,한화,win
1390,LG,lose
1391,LG,lose
1392,LG,win
1393,롯데,lose
1394,롯데,lose
1395,롯데,lose
1396,두산,lose
1397,두산,win
1398,두산,lose
1399,SK,lose
1400,SK,lose
1401,SK,lose
1402,롯데,win
1403,롯데,win
1404,롯데,lose
1405,한화,win
1406,한화,lose
1407,한화,win
1408,SK,win
1409,SK,win
1410,SK,lose
1411,히어로즈,win
1412,히어로즈,win
1413,히어로즈,win
1414,KIA,lose
1415,KIA,lose
1416,KIA,lose
1417,SK,win
1418,SK,lose
1419,SK,win
1420,두산,lose
1421,두산,lose
1422,두산,lose
1423,롯데,win
1424,롯데,lose
1425,롯데,lose
1426,LG,lose
1427,LG,lose
1428,LG,lose
1429,한화,win
1430,한화,win
1431,한화,win
1432,두산,lose
1433,두산,win
1434,두산,win
1435,KIA,win
1436,KIA,lose
1437,히어로즈,win
1438,히어로즈,win
1439,롯데,win
1440,롯데,win
1441,SK,win
1442,SK,win
1443,두산,lose
1444,두산,win
1445,두산,lose
1446,LG,win
1447,LG,win
1448,히어로즈,win
1449,히어로즈,lose
1450,히어로즈,win
1451,LG,lose
1452,LG,lose
1453,LG,win
1454,KIA,lose
1455,KIA,lose
1456,KIA,lose
1457,한화,win
1458,한화,win
1459,한화,win
1460,롯데,lose
1461,롯데,lose
1462,롯데,win
1463,히어로즈,win
1464,히어로즈,lose
1465,KIA,lose
1466,KIA,win
1467,KIA,lose
1468,한화,win
1469,한화,lose
1470,두산,win
1471,두산,lose
1472,두산,lose
1473,롯데,lose
1474,롯데,win
1475,롯데,win
1476,SK,lose
1477,SK,lose
1478,SK,lose
1479,KIA,lose
1480,KIA,win
1481,히어로즈,win
1482,LG,win
1483,LG,win
1484,LG,lose
1485,롯데,lose
1486,롯데,lose
1487,한화,lose
1488,한화,win
1489,히어로즈,win
1490,히어로즈,win
1491,SK,lose
1492,SK,lose
1493,두산,lose
1494,한화,lose
1495,LG,lose
1496,LG,win
1497,KIA,win
1498,KIA,lose
1499,LG,lose
1500,LG,win
1501,KIA,win
1502,KIA,lose
1504,한화,win
1505,한화,lose
1506,한화,win
1507,넥센,win
1508,넥센,win
1509,넥센,win
1510,KIA,win
1511,KIA,win
1512,KIA,lose
1513,LG,win
1514,LG,lose
1515,LG,lose
1516,SK,lose
1517,SK,lose
1518,SK,lose
1519,한화,win
1520,한화,win
1521,한화,lose
1522,두산,win
1523,두산,lose
1524,두산,lose
1527,LG,win
1528,한화,win
1529,한화,win
1530,한화,win
1531,롯데,lose
1532,롯데,win
1533,롯데,lose
1534,SK,win
1535,SK,lose
1536,SK,win
1537,두산,win
1538,두산,lose
1539,두산,lose
1540,넥센,lose
1541,넥센,win
1542,넥센,lose
1544,LG,lose
1545,LG,lose
1546,롯데,win
1549,SK,win
1550,SK,win
1551,SK,win
1552,두산,lose
1553,두산,win
1554,두산,win
1555,KIA,win
1556,KIA,lose
1557,KIA,lose
1558,롯데,lose
1559,롯데,lose
1560,롯데,lose
1561,SK,lose
1562,SK,win
1563,SK,lose
1564,넥센,lose
1565,넥센,win
1566,넥센,lose
1567,롯데,win
1568,롯데,win
1569,롯데,draw
1570,한화,lose
1571,한화,lose
1572,한화,win
1573,두산,lose
1574,두산,win
1575,두산,win
1576,넥센,win
1577,넥센,win
1578,넥센,win
1579,롯데,win
1580,롯데,win
1581,롯데,win
1583,KIA,win
1584,KIA,win
1585,SK,win
1586,SK,win
1587,SK,lose
1588,넥센,win
1589,넥센,win
1590,넥센,win
1591,두산,win
1592,두산,lose
1593,두산,win
1595,LG,win
1596,LG,win
1597,KIA,win
1598,KIA,lose
1599,KIA,win
1601,한화,win
1602,한화,win
1603,넥센,win
1604,넥센,win
1605,넥센,lose
1606,SK,lose
1607,SK,win
1608,SK,lose
1609,LG,lose
1610,LG,win
1611,LG,win
1613,롯데,lose
1614,롯데,win
1615,한화,win
1616,한화,win
1617,한화,win
1618,두산,win
1619,두산,lose
1620,두산,lose
1621,KIA,win
1622,KIA,win
1623,KIA,win
1624,두산,win
1626,LG,win
1628,KIA,lose
1629,넥센,lose
1630,한화,win
1631,한화,win
1632,롯데,lose
1633,롯데,win
1634,롯데,lose
1635,LG,win
1637,LG,lose
1638,KIA,win
1639,KIA,lose
1640,SK,lose
1641,LG,win
1642,롯데,lose
1643,LG,draw
1644,LG,win
1645,KIA,win
1646,KIA,lose
1647,롯데,lose
1648,롯데,win
1650,SK,lose
1651,SK,lose
1652,SK,win
1653,LG,win
1654,LG,lose
1655,LG,win
1656,두산,win
1657,두산,lose
1658,두산,win
1659,KIA,win
1660,KIA,lose
1661,KIA,win
1662,넥센,lose
1663,넥센,win
1664,넥센,lose
1666,두산,win
1667,두산,win
1668,한화,lose
1669,한화,win
1670,KIA,win
1671,KIA,lose
1672,롯데,lose
1673,롯데,win
1675,SK,lose
1676,SK,lose
1677,SK,win
1678,LG,win
1679,LG,lose
1680,LG,win
1681,두산,win
1682,두산,lose
1683,두산,win
1684,KIA,win
1685,KIA,lose
1686,KIA,win
1687,넥센,lose
1688,넥센,win
1689,넥센,lose
1691,두산,win
1692,두산,win
1693,한화,lose
1694,한화,win
1695,한화,lose
1696,롯데,lose
1697,롯데,lose
1698,롯데,win
1699,LG,lose
1700,LG,win
1701,LG,lose
1702,SK,win
1704,SK,lose
1705,한화,lose
1706,한화,win
1707,한화,lose
1708,넥센,win
1709,넥센,win
1710,넥센,win
1711,두산,win
1712,두산,draw
1713,두산,win
1714,롯데,lose
1715,롯데,draw
1717,SK,win
1718,SK,win
1719,SK,lose
1720,한화,win
1721,한화,lose
